Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1785.7183622462635
FDW14,OUT017,1552.8626382593025
NCN55,OUT010,743.3564699425501
FDQ58,OUT017,2487.915944943593
FDY38,OUT027,5043.018513163351
FDH56,OUT046,2174.4014708203817
FDL48,OUT018,1228.8946909125561
FDC48,OUT027,1948.0127591395897
FDN33,OUT045,1605.13271830862
FDA36,OUT017,2863.790193937082
FDT44,OUT017,1861.986291385349
FDQ56,OUT045,1430.6600886467086
NCC54,OUT019,913.8501226511651
FDU11,OUT049,2106.473680640776
DRL59,OUT013,1239.3560290305227
FDM24,OUT049,2522.5616481115517
FDI57,OUT045,3005.1725273690695
DRC12,OUT018,2918.6416145040075
NCM42,OUT027,2612.463891695713
FDA46,OUT010,506.1053939663461
FDA31,OUT013,3090.254001883923
NCJ31,OUT035,3132.8769114567435
FDG52,OUT046,1188.872916900776
NCL19,OUT019,499.6997444114945
FDS10,OUT035,3258.4629499179464
FDX22,OUT010,654.8523239409722
NCF19,OUT035,1448.3379018746218
NCE06,OUT046,2555.6619306777247
DRC27,OUT046,3425.245336629525
FDE21,OUT035,2137.91443003496
NCR42,OUT019,322.0925948385534
FDX51,OUT018,2667.4355771522946
NCR06,OUT018,1118.9463224732572
FDU31,OUT027,4852.600752325296
FDU59,OUT017,2468.4595925087683
FDR03,OUT027,4945.270958474954
FDS49,OUT027,2253.943752597538
FDD48,OUT010,266.2506417345601
NCF18,OUT017,3137.0863234246876
NCD43,OUT027,2362.030309821905
NCD54,OUT018,1851.5385111097416
FDY19,OUT010,291.9544568870883
NCY54,OUT017,2340.8239687980904
NCL19,OUT018,2046.1198905338567
FDP23,OUT010,720.6108602530078
FDC26,OUT013,1934.2056029238915
FDR14,OUT010,287.4066747617028
NCS41,OUT035,3124.1045484806873
FDF41,OUT035,3814.4960288766442
FDU34,OUT046,1921.2308520236174
DRH11,OUT046,1321.5391769430562
FDM03,OUT013,1851.7360088341486
FDS31,OUT017,3099.2641621027137
